labels,timestamp,value
"{filename=/symlogs/sym-kieker-output.dat, job=rabbitmq-logs}",1708602001692111855,"$0;1708602001692111855;protected void tools.descartes.teastore.webui.servlet.CategoryServlet.handleGETRequest(jakarta.servlet.http.HttpServletRequest, jakarta.servlet.http.HttpServletResponse);<no-session-id>;4879931671232643284;1708602001621896115;1708602001692108044;teastore-webui-76644ffb9f-xgkfs;0;0"
"{filename=/symlogs/sym-kieker-output.dat, job=rabbitmq-logs}",1708602001681599869,"$0;1708602001681599869;protected void tools.descartes.teastore.webui.servlet.CartActionServlet.handleGETRequest(jakarta.servlet.http.HttpServletRequest, jakarta.servlet.http.HttpServletResponse);<no-session-id>;4879931671232643273;1708602001346124593;1708602001681596333;teastore-webui-76644ffb9f-xgkfs;0;0"
"{filename=/symlogs/sym-kieker-output.dat, job=rabbitmq-logs}",1708602001677646069,"$0;1708602001677646069;protected void tools.descartes.teastore.webui.servlet.CartActionServlet.handleGETRequest(jakarta.servlet.http.HttpServletRequest, jakarta.servlet.http.HttpServletResponse);<no-session-id>;7675822614899589278;1708602001579031021;1708602001677641109;teastore-webui-76644ffb9f-tjrfv;0;0"
"{filename=/symlogs/sym-kieker-output.dat, job=rabbitmq-logs}",1708602001668925776,"$0;1708602001668925776;protected void tools.descartes.teastore.webui.servlet.CartServlet.handleGETRequest(jakarta.servlet.http.HttpServletRequest, jakarta.servlet.http.HttpServletResponse);<no-session-id>;4879931671232643279;1708602001499930715;1708602001668923588;teastore-webui-76644ffb9f-xgkfs;0;0"
"{filename=/symlogs/sym-kieker-output.dat, job=rabbitmq-logs}",1708602001668344003,"$0;1708602001668344003;protected void tools.descartes.teastore.webui.servlet.CartActionServlet.handleGETRequest(jakarta.servlet.http.HttpServletRequest, jakarta.servlet.http.HttpServletResponse);<no-session-id>;2488238794122199217;1708602001476035375;1708602001668339302;teastore-webui-76644ffb9f-nc94z;0;0"
"{filename=/symlogs/sym-kieker-output.dat, job=rabbitmq-logs}",1708602001667251358,"$0;1708602001667251358;protected void tools.descartes.teastore.webui.servlet.CartServlet.handleGETRequest(jakarta.servlet.http.HttpServletRequest, jakarta.servlet.http.HttpServletResponse);<no-session-id>;4879931671232643281;1708602001499931991;1708602001667248366;teastore-webui-76644ffb9f-xgkfs;0;0"
"{filename=/symlogs/sym-kieker-output.dat, job=rabbitmq-logs}",1708602001652849136,"$0;1708602001652849136;protected void tools.descartes.teastore.webui.servlet.CartActionServlet.handleGETRequest(jakarta.servlet.http.HttpServletRequest, jakarta.servlet.http.HttpServletResponse);<no-session-id>;7675822614899589279;1708602001590941123;1708602001652844671;teastore-webui-76644ffb9f-tjrfv;0;0"
"{filename=/symlogs/sym-kieker-output.dat, job=rabbitmq-logs}",1708602001645584969,"$0;1708602001645584969;protected void tools.descartes.teastore.webui.servlet.CartServlet.handleGETRequest(jakarta.servlet.http.HttpServletRequest, jakarta.servlet.http.HttpServletResponse);<no-session-id>;4879931671232643278;1708602001498688071;1708602001645581878;teastore-webui-76644ffb9f-xgkfs;0;0"
"{filename=/symlogs/sym-kieker-output.dat, job=rabbitmq-logs}",1708602001644035834,"$0;1708602001644035834;protected void tools.descartes.teastore.webui.servlet.CartServlet.handleGETRequest(jakarta.servlet.http.HttpServletRequest, jakarta.servlet.http.HttpServletResponse);<no-session-id>;4879931671232643280;1708602001499931462;1708602001644032703;teastore-webui-76644ffb9f-xgkfs;0;0"
"{filename=/symlogs/sym-kieker-output.dat, job=rabbitmq-logs}",1708602001632011800,"$0;1708602001632011800;protected void tools.descartes.teastore.webui.servlet.IndexServlet.handleGETRequest(jakarta.servlet.http.HttpServletRequest, jakarta.servlet.http.HttpServletResponse);<no-session-id>;2488238794122199219;1708602001610378949;1708602001632008050;teastore-webui-76644ffb9f-nc94z;0;0"
"{filename=/symlogs/sym-kieker-output.dat, job=rabbitmq-logs}",1708602001616544485,"$0;1708602001616544485;protected void tools.descartes.teastore.webui.servlet.CartServlet.handleGETRequest(jakarta.servlet.http.HttpServletRequest, jakarta.servlet.http.HttpServletResponse);<no-session-id>;4879931671232643283;1708602001505029783;1708602001616542226;teastore-webui-76644ffb9f-xgkfs;0;0"
"{filename=/symlogs/sym-kieker-output.dat, job=rabbitmq-logs}",1708602001616231720,"$0;1708602001616231720;protected void tools.descartes.teastore.webui.servlet.CartServlet.handleGETRequest(jakarta.servlet.http.HttpServletRequest, jakarta.servlet.http.HttpServletResponse);<no-session-id>;4879931671232643277;1708602001376926350;1708602001616229723;teastore-webui-76644ffb9f-xgkfs;0;0"
"{filename=/symlogs/sym-kieker-output.dat, job=rabbitmq-logs}",1708602001615502553,"$0;1708602001615502553;protected void tools.descartes.teastore.webui.servlet.CartServlet.handleGETRequest(jakarta.servlet.http.HttpServletRequest, jakarta.servlet.http.HttpServletResponse);<no-session-id>;4879931671232643276;1708602001375589761;1708602001615500188;teastore-webui-76644ffb9f-xgkfs;0;0"
"{filename=/symlogs/sym-kieker-output.dat, job=rabbitmq-logs}",1708602001608771774,"$0;1708602001608771774;protected void tools.descartes.teastore.webui.servlet.LoginActionServlet.handlePOSTRequest(jakarta.servlet.http.HttpServletRequest, jakarta.servlet.http.HttpServletResponse);<no-session-id>;2488238794122199218;1708602001599496334;1708602001608769005;teastore-webui-76644ffb9f-nc94z;0;0"
